Freq [GHz],s11(dB)
18.4,-5.095318443
18.46,-5.670973771
18.52,-6.256475461
18.58,-6.857511568
18.64,-7.480130931
18.7,-8.130492322
18.76,-8.8147916
18.82,-9.539185657
18.88,-10.30956775
18.94,-11.13099407
19,-12.00640605
19.06,-12.93398978
19.12,-13.90202898
19.18,-14.87966353
19.24,-15.80290434
19.3,-16.56168223
19.36,-17.00970733
19.42,-17.02524172
19.48,-16.5950283
19.54,-15.82541755
19.6,-14.86555116
19.66,-13.8363561
19.72,-12.81188464
19.78,-11.83000751
19.84,-10.9070667
19.9,-10.04815371
19.96,-9.252981887
20.02,-8.518945207
20.08,-7.842621752
20.14,-7.220466949
20.2,-6.649097085
20.26,-6.125371686
20.32,-5.646382719
20.38,-5.209406817
20.44,-4.811849824
20.5,-4.451198542
20.56,-4.124986401
20.62,-3.830774899
20.68,-3.566149692
20.74,-3.328728475
20.8,-3.116176984
20.86,-2.926229366
20.92,-2.756709554
20.98,-2.605550993
21.04,-2.470812924
21.1,-2.350692207
21.16,-2.243530382
21.22,-2.147816184
21.28,-2.062184065
21.34,-1.985409455
21.4,-1.91640157
21.46,-1.854194509
21.52,-1.797937338
21.58,-1.746883697
21.64,-1.700381396
21.7,-1.657862306
21.76,-1.618832786
21.82,-1.582864781
21.88,-1.549587678
21.94,-1.518680946
22,-1.489867544
22.06,-1.462908083
22.12,-1.437595682
22.18,-1.413751458
22.24,-1.391220611
22.3,-1.369869013
22.36,-1.349580274
22.42,-1.330253197
22.48,-1.311799609
22.54,-1.294142484
22.6,-1.277214341
22.66,-1.26095588
22.72,-1.245314804
22.78,-1.230244822
22.84,-1.215704798
22.9,-1.20165802
22.96,-1.188071585
23.02,-1.174915862
23.08,-1.162164052
23.14,-1.149791793
23.2,-1.137776841
23.26,-1.126098783
23.32,-1.114738804
23.38,-1.103679482
23.44,-1.092904611
23.5,-1.082399055
23.56,-1.072148618
23.62,-1.062139937
23.68,-1.052360388
23.74,-1.042798005
23.8,-1.033441409
23.86,-1.02427975
23.92,-1.015302659
23.98,-1.006500196
24.04,-0.997862819
24.1,-0.989381346
24.16,-0.981046927
24.22,-0.97285102
24.28,-0.964785368
24.34,-0.956841981
24.4,-0.949013118
24.46,-0.94129127
24.52,-0.933669151
24.58,-0.926139685
24.64,-0.918695993
24.7,-0.91133139
24.76,-0.904039368
24.82,-0.896813597
24.88,-0.889647914
24.94,-0.882536318
25,-0.875472965
