"tumor_rad [mm]","Freq [GHz]","dB(St(pin_T1,pin_T1)) []"
0.5,8.79,-0.048128458653825
0.5,8.8375,-0.0491123375721139
0.5,8.885,-0.0501168311925247
0.5,8.9325,-0.0511423963304109
0.5,8.98,-0.0521895018175189
0.5,9.0275,-0.0532586288721224
0.5,9.075,-0.0543502714812249
0.5,9.1225,-0.0554649367953036
0.5,9.17,-0.0566031455359912
0.5,9.2175,-0.0577654324171289
0.5,9.265,-0.0589523465796867
0.5,9.3125,-0.0601644520409922
0.5,9.36,-0.0614023281587381
0.5,9.4075,-0.0626665701103594
0.5,9.455,-0.0639577893881676
0.5,9.5025,-0.0652766143109623
0.5,9.55,-0.0666236905525347
0.5,9.5975,-0.0679996816804645
0.5,9.645,-0.0694052697547277
0.5,9.6925,-0.0708411558437601
0.5,9.74,-0.072308060691741
0.5,9.7875,-0.07380672530946
0.5,9.835,-0.0753379116234133
0.5,9.8825,-0.0769024031404603
0.5,9.93,-0.0785010056346815
0.5,9.9775,-0.0801345478572218
0.5,10.025,-0.081803882269981
0.5,10.0725,-0.0835098858039617
0.5,10.12,-0.0852534606431695
0.5,10.1675,-0.0870355350349654
0.5,10.215,-0.0888570641278207
0.5,10.2625,-0.0907190308374839
0.5,10.31,-0.0926224467425911
0.5,10.3575,-0.0945683530108241
0.5,10.405,-0.0965578213567304
0.5,10.4525,-0.0985919550324222
0.5,10.5,-0.100671889852412
0.5,10.5475,-0.10279879525393
0.5,10.595,-0.104973875394121
0.5,10.6425,-0.107198370285587
0.5,10.69,-0.109473556971899
0.5,10.7375,-0.111800750744726
0.5,10.785,-0.1141813064044
0.5,10.8325,-0.116616619565829
0.5,10.88,-0.11910812801181
0.5,10.9275,-0.121657313095988
0.5,10.975,-0.124265701197839
0.5,11.0225,-0.126934865232276
0.5,11.07,-0.129666426216712
0.5,11.1175,-0.132462054898645
0.5,11.165,-0.135323473447124
0.5,11.2125,-0.138252457211824
0.5,11.26,-0.141250836553704
0.5,11.3075,-0.144320498751848
0.5,11.355,-0.147463389991296
0.5,11.4025,-0.150681517437515
0.5,11.45,-0.15397695140346
0.5,11.4975,-0.157351827616175
0.5,11.545,-0.160808349590417
0.5,11.5925,-0.164348791117902
0.5,11.64,-0.167975498881627
0.5,11.6875,-0.171690895206019
0.5,11.735,-0.175497480954952
0.5,11.7825,-0.179397838591095
0.5,11.83,-0.183394635411922
0.5,11.8775,-0.187490626979553
0.5,11.925,-0.191688660763757
0.5,11.9725,-0.195991680020086
0.5,12.02,-0.200402727927774
0.5,12.0675,-0.20492495201526
0.5,12.115,-0.20956160890485
0.5,12.1625,-0.214316069411864
0.5,12.21,-0.219191824038387
0.5,12.2575,-0.224192488906534
0.5,12.305,-0.229321812182006
0.5,12.3525,-0.234583681044853
0.5,12.4,-0.23998212927144
0.5,12.4475,-0.245521345499217
0.5,12.495,-0.251205682254565
0.5,12.5425,-0.257039665833151
0.5,12.59,-0.263028007132482
0.5,12.6375,-0.269175613547375
0.5,12.685,-0.275487602050917
0.5,12.7325,-0.281969313596115
0.5,12.78,-0.28862632898703
0.5,12.8275,-0.295464486382004
0.5,12.875,-0.302489900606245
0.5,12.9225,-0.309708984465691
0.5,12.97,-0.3171284722687
0.5,13.0175,-0.324755445776165
0.5,13.065,-0.332597362813893
0.5,13.1125,-0.340662088792352
0.5,13.16,-0.34895793138816
0.5,13.2075,-0.35749367864719
0.5,13.255,-0.366278640770828
0.5,13.3025,-0.375322695842525
0.5,13.35,-0.384636339740926
0.5,13.3975,-0.394230740466426
0.5,13.445,-0.404117797078984
0.5,13.4925,-0.414310203404562
0.5,13.54,-0.424821516614482
0.5,13.5875,-0.435666230715034
0.5,13.635,-0.446859854902974
0.5,13.6825,-0.458418996645794
0.5,13.73,-0.470361449234328
0.5,13.7775,-0.482706283430824
0.5,13.825,-0.495473942700656
0.5,13.8725,-0.508686341374564
0.5,13.92,-0.52236696494679
0.5,13.9675,-0.536540971579994
0.5,14.015,-0.551235293770893
0.5,14.0625,-0.566478739041963
0.5,14.11,-0.582302088478595
0.5,14.1575,-0.598738191941601
0.5,14.205,-0.6158220588682
0.5,14.2525,-0.633590943745131
0.5,14.3,-0.652084425609804
0.5,14.3475,-0.671344481321472
0.5,14.395,-0.691415552852011
0.5,14.4425,-0.712344609480378
0.5,14.49,-0.734181206534373
0.5,14.5375,-0.756977543203175
0.5,14.585,-0.780788522934013
0.5,14.6325,-0.805671821014474
0.5,14.68,-0.831687965116197
0.5,14.7275,-0.858900435828726
0.5,14.775,-0.887375795546506
0.5,14.8225,-0.917183855504858
0.5,14.87,-0.948397892335123
0.5,14.9175,-0.981094927298626
0.5,14.965,-1.01535608348241
0.5,15.0125,-1.05126703887154
0.5,15.06,-1.08891859660307
0.5,15.1075,-1.12840739820268
0.5,15.155,-1.16983681168891
0.5,15.2025,-1.21331803476667
0.5,15.25,-1.2589714648517
0.5,15.2975,-1.30692840368283
0.5,15.345,-1.35733318667365
0.5,15.3925,-1.41034585867491
0.5,15.44,-1.46614556253814
0.5,15.4875,-1.52493487093262
0.5,15.535,-1.58694538469727
0.5,15.5825,-1.65244505731382
0.5,15.63,-1.72174790823504
0.5,15.6775,-1.79522709560717
0.5,15.725,-1.8733327938081
0.5,15.7725,-1.95661706837133
0.5,15.82,-2.04576914146015
0.5,15.8675,-2.14166641434296
0.5,15.915,-2.24544993489728
0.5,15.9625,-2.35863872896299
0.5,16.01,-2.48330754607244
0.5,16.0575,-2.62237087389953
0.5,16.105,-2.78004957078464
0.5,16.1525,-2.96265703207186
0.5,16.2,-3.17994182007234
0.5,16.2475,-3.44732311962556
0.5,16.295,-3.78898903965749
0.5,16.3425,-4.23770013534478
0.5,16.39,-4.79917215407243
0.5,16.4375,-5.2296984322068
0.5,16.485,-4.73334312889422
0.5,16.5325,-3.55847878985411
0.5,16.58,-2.91593068106082
0.5,16.6275,-2.77929977367955
0.5,16.675,-2.85169677751135
0.5,16.7225,-2.99787076711684
0.5,16.77,-3.17002389958214
0.5,16.8175,-3.35176192103496
0.5,16.865,-3.53760614596951
0.5,16.9125,-3.72598878890734
0.5,16.96,-3.91677434033628
0.5,17.0075,-4.11034271769566
0.5,17.055,-4.30724203723179
0.5,17.1025,-4.50806159812105
0.5,17.15,-4.71339623332948
0.5,17.1975,-4.92385446789034
0.5,17.245,-5.14009646950683
0.5,17.2925,-5.36290587482851
0.5,17.34,-5.59331640583271
0.5,17.3875,-5.832840874906
0.5,17.435,-6.08390475569905
0.5,17.4825,-6.35071056755057
0.5,17.53,-6.6410610488803
0.5,17.5775,-6.97044640562278
0.5,17.625,-7.37178573282814
0.5,17.6725,-7.91963759803939
0.5,17.72,-8.78688528750544
0.5,17.7675,-10.3049946110569
0.5,17.815,-12.4065529402181
