Freq [GHz],s11(dB)
17.32,-4.022096177
17.38,-4.224749187
17.44,-4.444502122
17.5,-4.687751156
17.56,-4.965076041
17.62,-5.295768361
17.68,-5.718759463
17.74,-6.321199504
17.8,-7.313416927
17.86,-9.120907602
17.92,-11.10116062
17.98,-9.97302509
18.04,-8.60584168
18.1,-8.131621142
18.16,-8.108217727
18.22,-8.297455581
18.28,-8.603991946
18.34,-8.988432284
18.4,-9.433830051
18.46,-9.933019974
18.52,-10.4833323
18.58,-11.08397914
18.64,-11.73430106
18.7,-12.4319832
18.76,-13.17058321
18.82,-13.93571621
18.88,-14.69937613
18.94,-15.41288155
19,-16.00213937
19.06,-16.37442481
19.12,-16.44628356
19.18,-16.18278706
19.24,-15.60987113
19.3,-14.78545793
19.36,-13.9856429
19.42,-13.22888681
19.48,-12.38198855
19.54,-11.54239835
19.6,-10.74069813
19.66,-9.985808623
19.72,-9.279651422
19.78,-8.621282804
19.84,-8.008526921
19.9,-7.438738627
19.96,-6.909178649
20.02,-6.417195557
20.08,-5.960306973
20.14,-5.536227604
20.2,-5.14286952
20.26,-4.778328528
20.32,-4.440864259
20.38,-4.128878213
20.44,-3.840892117
20.5,-3.575527944
20.56,-3.331490384
20.62,-3.107552265
20.68,-2.902543289
20.74,-2.715342393
20.8,-2.544874062
20.86,-2.390109069
20.92,-2.250070326
20.98,-2.123844988
21.04,-2.010604682
21.1,-1.909636926
21.16,-1.820392516
21.22,-1.742555752
21.28,-1.676145388
21.34,-1.62164866
21.4,-1.580161059
21.46,-1.553403841
21.52,-1.543230843
21.58,-1.549813387
21.64,-1.567890072
21.7,-1.583668319
21.76,-1.579908307
21.82,-1.549174586
21.88,-1.498469883
21.94,-1.439950415
22,-1.3823434
22.06,-1.329575274
22.12,-1.282581265
22.18,-1.24098544
22.24,-1.204005101
22.3,-1.170831819
22.36,-1.140760188
22.42,-1.113213469
22.48,-1.087732911
22.54,-1.063957558
22.6,-1.041604218
22.66,-1.020450483
22.72,-1.000321182
22.78,-0.981077847
22.84,-0.962610593
22.9,-0.944831876
22.96,-0.927671673
23.02,-0.911073754
23.08,-0.894992779
23.14,-0.879392021
23.2,-0.864241582
23.26,-0.849516979
23.32,-0.835198026
23.38,-0.821267943
23.44,-0.807712647
23.5,-0.794520186
23.56,-0.781680292
23.62,-0.769184012
23.68,-0.75702343
23.74,-0.74519143
23.8,-0.733681522
23.86,-0.722487691
23.92,-0.711604289
23.98,-0.701025945
24.04,-0.690747494
24.1,-0.680763928
24.16,-0.671070354
24.22,-0.66166196
24.28,-0.652534
24.34,-0.643681775
24.4,-0.635100621
24.46,-0.626785903
24.52,-0.618733014
24.58,-0.61093737
24.64,-0.603394414
24.7,-0.596099612
24.76,-0.589048464
24.82,-0.582236497
24.88,-0.575659278
24.94,-0.569312409
25,-0.563191538
