Freq [GHz],s11(dB)
1,-0.000128375
1.06,-0.00013176
1.12,-0.000135615
1.18,-0.000139984
1.24,-0.000144918
1.3,-0.000150467
1.36,-0.000156686
1.42,-0.000163633
1.48,-0.000171366
1.54,-0.000179949
1.6,-0.000189446
1.66,-0.000199924
1.72,-0.000211456
1.78,-0.000224114
1.84,-0.000237974
1.9,-0.000253115
1.96,-0.00026962
2.02,-0.000287572
2.08,-0.00030706
2.14,-0.000328174
2.2,-0.000351007
2.26,-0.000375655
2.32,-0.000402219
2.38,-0.000430799
2.44,-0.000461503
2.5,-0.000494438
2.56,-0.000529716
2.62,-0.000567451
2.68,-0.000607762
2.74,-0.00065077
2.8,-0.000696599
2.86,-0.000745376
2.92,-0.000797232
2.98,-0.000852303
3.04,-0.000910725
3.1,-0.000972639
3.16,-0.001038191
3.22,-0.001107528
3.28,-0.001180802
3.34,-0.001258169
3.4,-0.001339786
3.46,-0.001425818
3.52,-0.00151643
3.58,-0.001611793
3.64,-0.001712081
3.7,-0.001817472
3.76,-0.001928148
3.82,-0.002044295
3.88,-0.002166103
3.94,-0.002293768
4,-0.002427487
4.06,-0.002567463
4.12,-0.002713905
4.18,-0.002867024
4.24,-0.003027035
4.3,-0.003194161
4.36,-0.003368627
4.42,-0.003550663
4.48,-0.003740505
4.54,-0.003938393
4.6,-0.004144572
4.66,-0.004359293
4.72,-0.004582811
4.78,-0.004815387
4.84,-0.005057288
4.9,-0.005308786
4.96,-0.005570158
5.02,-0.005841687
5.08,-0.006123663
5.14,-0.006416381
5.2,-0.006720143
5.26,-0.007035255
5.32,-0.007362032
5.38,-0.007700794
5.44,-0.008051869
5.5,-0.00841559
5.56,-0.008792297
5.62,-0.00918234
5.68,-0.009586072
5.74,-0.010003857
5.8,-0.010436065
5.86,-0.010883074
5.92,-0.011345269
5.98,-0.011823046
6.04,-0.012316805
6.1,-0.012826959
6.16,-0.013353926
6.22,-0.013898136
6.28,-0.014460026
6.34,-0.015040043
6.4,-0.015638646
6.46,-0.016256299
6.52,-0.016893481
6.58,-0.017550678
6.64,-0.018228389
6.7,-0.018927124
6.76,-0.019647402
6.82,-0.020389755
6.88,-0.021154727
6.94,-0.021942875
7,-0.022754767
7.06,-0.023590986
7.12,-0.024452125
7.18,-0.025338794
7.24,-0.026251615
7.3,-0.027191226
7.36,-0.028158279
7.42,-0.029153441
7.48,-0.030177396
7.54,-0.031230844
7.6,-0.032314501
7.66,-0.033429101
7.72,-0.034575395
7.78,-0.035754155
7.84,-0.036966168
7.9,-0.038212243
7.96,-0.03949321
8.02,-0.040809919
8.08,-0.04216324
8.14,-0.043554068
8.2,-0.044983318
8.26,-0.046451933
8.32,-0.047960877
8.38,-0.049511139
8.44,-0.051103738
8.5,-0.052739718
8.56,-0.054420149
8.62,-0.056146135
8.68,-0.057918806
8.74,-0.059739326
8.8,-0.061608888
8.86,-0.063528724
8.92,-0.065500095
8.98,-0.067524302
9.04,-0.069602681
9.1,-0.071736609
9.16,-0.073927502
9.22,-0.076176819
9.28,-0.078486059
9.34,-0.080856771
9.4,-0.083290548
9.46,-0.085789032
9.52,-0.088353916
9.58,-0.090986946
9.64,-0.093689923
9.7,-0.096464703
9.76,-0.099313204
9.82,-0.102237404
9.88,-0.105239348
9.94,-0.108321145
10,-0.111484975
10.06,-0.114733093
10.12,-0.118067826
10.18,-0.121491585
10.24,-0.12500686
10.3,-0.128616229
10.36,-0.132322361
10.42,-0.136128018
10.48,-0.140036062
10.54,-0.144049456
10.6,-0.148171273
10.66,-0.152404697
10.72,-0.15675303
10.78,-0.161219699
10.84,-0.165808258
10.9,-0.170522398
10.96,-0.17536595
11.02,-0.180342895
11.08,-0.185457369
11.14,-0.190713671
11.2,-0.196116272
11.26,-0.201669821
11.32,-0.207379156
11.38,-0.213249315
11.44,-0.219285539
11.5,-0.225493291
11.56,-0.231878262
11.62,-0.238446381
11.68,-0.245203834
11.74,-0.25215707
11.8,-0.259312816
11.86,-0.266678096
11.92,-0.274260239
11.98,-0.282066899
12.04,-0.290106074
12.1,-0.298386116
12.16,-0.306915756
12.22,-0.315704122
12.28,-0.324760756
12.34,-0.334095638
12.4,-0.343719209
12.46,-0.353642391
12.52,-0.363876612
12.58,-0.374433834
12.64,-0.385326572
12.7,-0.39656793
12.76,-0.408171619
12.82,-0.420151992
12.88,-0.43252407
12.94,-0.445303571
13,-0.458506941
13.06,-0.472151382
13.12,-0.486254885
13.18,-0.500836253
13.24,-0.515915136
13.3,-0.531512053
13.36,-0.547648421
13.42,-0.564346577
13.48,-0.581629798
13.54,-0.59952232
13.6,-0.618049348
13.66,-0.637237072
13.72,-0.65711266
13.78,-0.677704264
13.84,-0.699041005
13.9,-0.721152958
13.96,-0.744071126
14.02,-0.767827405
14.08,-0.792454545
14.14,-0.817986098
14.2,-0.844456362
14.26,-0.871900322
14.32,-0.900353582
14.38,-0.929852309
14.44,-0.960433176
14.5,-0.99213332
14.56,-1.024990328
14.62,-1.059042254
14.68,-1.094327691
14.74,-1.130885903
14.8,-1.168757051
14.86,-1.207982537
14.92,-1.248605488
14.98,-1.290671428
15.04,-1.334229178
15.1,-1.379332033
15.16,-1.426039295
15.22,-1.474418225
15.28,-1.524546541
15.34,-1.576515588
15.4,-1.63043437
15.46,-1.686434723
15.52,-1.744677999
15.58,-1.80536383
15.64,-1.868741821
15.7,-1.935127466
15.76,-2.00492434
15.82,-2.078655845
15.88,-2.157011925
15.94,-2.240919942
16,-2.331655825
16.06,-2.431024764
16.12,-2.541666709
16.18,-2.66759528
16.24,-2.815190984
16.3,-2.995102216
16.36,-3.225895786
16.42,-3.539911339
16.48,-3.978392983
16.54,-4.42477525
16.6,-3.908868299
16.66,-2.734009429
16.72,-2.418386512
16.78,-2.49041092
16.84,-2.645342277
16.9,-2.81294301
16.96,-2.979882027
17.02,-3.145288862
17.08,-3.310964164
17.14,-3.47916292
17.2,-3.652159769
17.26,-3.832280488
