Freq [GHz],s11(dB)
18.4,-5.399363632
18.46,-5.982815353
18.52,-6.579452501
18.58,-7.195260333
18.64,-7.83639971
18.7,-8.509088344
18.76,-9.219561336
18.82,-9.973959854
18.88,-10.77798701
18.94,-11.63606754
19,-12.54951954
19.06,-13.51283148
19.12,-14.5065561
19.18,-15.48518013
19.24,-16.36122867
19.3,-16.99864045
19.36,-17.24669324
19.42,-17.02636637
19.48,-16.39270707
19.54,-15.49092168
19.6,-14.46578616
19.66,-13.4160129
19.72,-12.39564374
19.78,-11.4297535
19.84,-10.52766765
19.9,-9.690983545
19.96,-8.917845052
20.02,-8.205067336
20.08,-7.549129736
20.14,-6.946595595
20.2,-6.394250485
20.26,-5.889108926
20.32,-5.428367223
20.38,-5.009342705
20.44,-4.629419801
20.5,-4.286012266
20.56,-3.976544253
20.62,-3.698448899
20.68,-3.44918081
20.74,-3.226237789
20.8,-3.027187094
20.86,-2.849692103
20.92,-2.691536255
20.98,-2.550642243
21.04,-2.425085453
21.1,-2.313101504
21.16,-2.213088345
21.22,-2.123603725
21.28,-2.043359015
21.34,-1.971210396
21.4,-1.906148305
21.46,-1.847285951
21.52,-1.793847508
21.58,-1.745156461
21.64,-1.70062445
21.7,-1.659740823
21.76,-1.622063035
21.82,-1.587207936
21.88,-1.554843978
21.94,-1.524684289
22,-1.496480579
22.06,-1.470017801
22.12,-1.445109513
22.18,-1.421593847
22.24,-1.399330039
22.3,-1.378195431
22.36,-1.358082901
22.42,-1.338898656
22.48,-1.320560346
22.54,-1.302995447
22.6,-1.28613988
22.66,-1.26993683
22.72,-1.254335744
22.78,-1.239291467
22.84,-1.224763507
22.9,-1.210715411
22.96,-1.197114227
23.02,-1.183930045
23.08,-1.171135608
23.14,-1.158705971
23.2,-1.146618222
23.26,-1.134851225
23.32,-1.123385417
23.38,-1.112202619
23.44,-1.101285886
23.5,-1.090619365
23.56,-1.080188184
23.62,-1.069978347
23.68,-1.059976648
23.74,-1.050170599
23.8,-1.040548356
23.86,-1.03109867
23.92,-1.02181083
23.98,-1.012674625
24.04,-1.003680302
24.1,-0.994818533
24.16,-0.986080385
