tumor_rad [mm],Freq [GHz],S11(dB)
3.5,13.72,-0.769092866
3.5,13.78,-0.791650006
3.5,13.84,-0.814966967
3.5,13.9,-0.839074415
3.5,13.96,-0.864004336
3.5,14.02,-0.889790072
3.5,14.08,-0.916466366
3.5,14.14,-0.944069402
3.5,14.2,-0.972636843
3.5,14.26,-1.002207865
3.5,14.32,-1.032823189
3.5,14.38,-1.064525106
3.5,14.44,-1.097357495
3.5,14.5,-1.131365841
3.5,14.56,-1.166597235
3.5,14.62,-1.203100369
3.5,14.68,-1.240925526
3.5,14.74,-1.280124546
3.5,14.8,-1.320750788
3.5,14.86,-1.362859072
3.5,14.92,-1.406505608
3.5,14.98,-1.451747905
3.5,15.04,-1.498644667
3.5,15.1,-1.547255665
3.5,15.16,-1.597641602
3.5,15.22,-1.649863958
3.5,15.28,-1.703984823
3.5,15.34,-1.760066739
3.5,15.4,-1.818172531
3.5,15.46,-1.878365171
3.5,15.52,-1.94070767
3.5,15.58,-2.005263027
3.5,15.64,-2.072094275
3.5,15.7,-2.141264641
3.5,15.76,-2.212837895
3.5,15.82,-2.286878925
3.5,15.88,-2.363454624
3.5,15.94,-2.442635178
3.5,16,-2.524495866
3.5,16.06,-2.6091195
3.5,16.12,-2.696599655
3.5,16.18,-2.787044879
3.5,16.24,-2.880584082
3.5,16.3,-2.977373358
3.5,16.36,-3.077604509
3.5,16.42,-3.181515612
3.5,16.48,-3.289404011
3.5,16.54,-3.401642217
3.5,16.6,-3.518697284
3.5,16.66,-3.641154441
3.5,16.72,-3.769745945
3.5,16.78,-3.905386545
3.5,16.84,-4.049217408
3.5,16.9,-4.202661151
3.5,16.96,-4.36749165
3.5,17.02,-4.545923701
3.5,17.08,-4.740729249
3.5,17.14,-4.955388386
3.5,17.2,-5.194282851
3.5,17.26,-5.462932275
3.5,17.32,-5.768243204
3.5,17.38,-6.1186417
3.5,17.44,-6.523651505
3.5,17.5,-6.991530683
3.5,17.56,-7.52069749
3.5,17.62,-8.072573619
3.5,17.68,-8.498144288
3.5,17.74,-8.418299053
3.5,17.8,-7.347297012
3.5,17.86,-5.428291015
3.5,17.92,-3.599740914
3.5,17.98,-2.600275889
3.5,18.04,-2.423023429
3.5,18.1,-2.711237973
3.5,18.16,-3.193332699
3.5,18.22,-3.742265133
3.5,18.28,-4.311040262
3.5,18.34,-4.886476062
3.5,18.4,-5.46834352
3.5,18.46,-6.061094367
3.5,18.52,-6.670749546
3.5,18.58,-7.303805498
3.5,18.64,-7.966916505
3.5,18.7,-8.66685698
3.5,18.76,-9.410543073
3.5,18.82,-10.20497164
3.5,18.88,-11.05690478
3.5,18.94,-11.97198965
3.5,19,-12.95269181
3.5,19.06,-13.99381633
3.5,19.12,-15.07344649
3.5,19.18,-16.13663116
3.5,19.24,-17.07335042
3.5,19.3,-17.7114787
3.5,19.36,-17.8735679
3.5,19.42,-17.5003346
3.5,19.48,-16.70402231
3.5,19.54,-15.67273912
3.5,19.6,-14.56060649
3.5,19.66,-13.45780937
3.5,19.72,-12.40700473
3.5,19.78,-11.42440536
3.5,19.84,-10.51348513
3.5,19.9,-9.672234159
3.5,19.96,-8.896660306
3.5,20.02,-8.182369942
3.5,20.08,-7.525213483
3.5,20.14,-6.921487086
3.5,20.2,-6.367930815
3.5,20.26,-5.861641675
3.5,20.32,-5.399961261
3.5,20.38,-4.980368781
3.5,20.44,-4.600395078
3.5,20.5,-4.257564365
3.5,20.56,-3.949364639
3.5,20.62,-3.67324378
3.5,20.68,-3.426625808
3.5,20.74,-3.206940628
3.5,20.8,-3.01166052
3.5,20.86,-2.838337542
3.5,20.92,-2.684637378
3.5,20.98,-2.548366767
3.5,21.04,-2.427493151
3.5,21.1,-2.320156352
3.5,21.16,-2.224672951
3.5,21.22,-2.139534535
3.5,21.28,-2.063401185
3.5,21.34,-1.995091556
3.5,21.4,-1.933570787
3.5,21.46,-1.877937269
3.5,21.52,-1.827409055
3.5,21.58,-1.781310531
3.5,21.64,-1.739059726
3.5,21.7,-1.700156528
3.5,21.76,-1.664171951
3.5,21.82,-1.630738486
3.5,21.88,-1.599541546
3.5,21.94,-1.570311934
3.5,22,-1.54281929
3.5,22.06,-1.516866392
3.5,22.12,-1.492284259
3.5,22.18,-1.468927937
3.5,22.24,-1.446672897
3.5,22.3,-1.425411964
3.5,22.36,-1.405052699
3.5,22.42,-1.385515181
3.5,22.48,-1.366730116
3.5,22.54,-1.348637241
3.5,22.6,-1.331183976
3.5,22.66,-1.31432427
3.5,22.72,-1.298017639
3.5,22.78,-1.282228343
3.5,22.84,-1.266924695
3.5,22.9,-1.25207847
3.5,22.96,-1.237664414
3.5,23.02,-1.223659818
3.5,23.08,-1.210044166
3.5,23.14,-1.196798829
3.5,23.2,-1.183906814
3.5,23.26,-1.17135254
3.5,23.32,-1.15912166
3.5,23.38,-1.147200898
3.5,23.44,-1.135577917
3.5,23.5,-1.124241206
3.5,23.56,-1.113179981
3.5,23.62,-1.1023841
3.5,23.68,-1.091843996
3.5,23.74,-1.08155061
3.5,23.8,-1.071495344
3.5,23.86,-1.06167001
3.5,23.92,-1.052066793
3.5,23.98,-1.042678219
3.5,24.04,-1.033497121
3.5,24.1,-1.024516618
3.5,24.16,-1.015730088
3.5,24.22,-1.007131152
3.5,24.28,-0.998713654
3.5,24.34,-0.990471647
3.5,24.4,-0.982399378
3.5,24.46,-0.974491279
3.5,24.52,-0.966741953
3.5,24.58,-0.959146165
3.5,24.64,-0.951698834
3.5,24.7,-0.944395024
3.5,24.76,-0.937229938
3.5,24.82,-0.930198911
3.5,24.88,-0.923297403
3.5,24.94,-0.916520996
3.5,25,-0.909865383
