Freq [GHz],S11 (dB),Phase
9.17,-0.499170927,-0.271689707
9.2175,-0.167649389,-0.306746358
9.265,-0.11229887,-0.326917926
9.3125,-0.106499976,-0.340773672
9.36,-0.126681174,-0.353545004
9.4075,-0.201274021,-0.368943442
9.455,-0.518619064,-0.381435054
9.5025,-0.610527777,-0.310221116
9.55,-0.224037014,-0.315654732
9.5975,-0.133828062,-0.329938423
9.645,-0.106544109,-0.339307621
9.6925,-0.096165076,-0.346129846
9.74,-0.091980325,-0.351607054
9.7875,-0.090580861,-0.356301848
9.835,-0.090625988,-0.360504315
9.8825,-0.091505649,-0.364378378
9.93,-0.092911555,-0.368023822
9.9775,-0.094675343,-0.371505122
10.025,-0.096699578,-0.374866023
10.0725,-0.098925431,-0.378137426
10.12,-0.101316355,-0.381341932
10.1675,-0.103849329,-0.38449658
10.215,-0.106509925,-0.387614572
10.2625,-0.109289409,-0.390706407
10.31,-0.112182997,-0.393780638
10.3575,-0.115188772,-0.396844407
10.405,-0.118307013,-0.399903826
10.4525,-0.121539792,-0.402964262
10.5,-0.124890741,-0.406030556
10.5475,-0.128364951,-0.409107195
10.595,-0.131968972,-0.41219846
10.6425,-0.135710903,-0.41530856
10.69,-0.139600583,-0.418441755
10.7375,-0.143649878,-0.421602486
10.785,-0.147873101,-0.424795514
10.8325,-0.152287612,-0.428026085
10.88,-0.156914642,-0.431300124
10.9275,-0.161780472,-0.434624494
10.975,-0.166918094,-0.438007319
11.0225,-0.172369632,-0.441458435
11.07,-0.178189902,-0.444990001
11.1175,-0.184451821,-0.448617379
11.165,-0.191254799,-0.452360396
11.2125,-0.198738232,-0.456245236
11.26,-0.207103966,-0.46030733
11.3075,-0.216655352,-0.464595914
11.355,-0.227868633,-0.469181429
11.4025,-0.241531494,-0.474167955
11.45,-0.259032076,-0.479714665
11.4975,-0.283017639,-0.486073095
11.545,-0.319068168,-0.493646898
11.5925,-0.380546174,-0.503034799
11.64,-0.504632785,-0.514510345
11.6875,-0.799022173,-0.521123322
11.735,-1.195277545,-0.469721358
11.7825,-0.73481323,-0.416752533
11.83,-0.413199123,-0.432662975
11.8775,-0.314597302,-0.449818261
11.925,-0.282722722,-0.462081906
11.9725,-0.273135746,-0.471289986
12.02,-0.27249707,-0.478715378
12.0675,-0.276030321,-0.485053068
12.115,-0.281761493,-0.490691734
12.1625,-0.288781833,-0.495860678
12.21,-0.296637698,-0.500702383
12.2575,-0.305088413,-0.505309488
12.305,-0.314000385,-0.509744583
12.3525,-0.323297057,-0.514051365
12.4,-0.332933691,-0.518261199
12.4475,-0.342883979,-0.522397145
12.495,-0.353132621,-0.526476512
12.5425,-0.363671043,-0.530512534
12.59,-0.374494862,-0.534515491
12.6375,-0.385602338,-0.538493489
12.685,-0.396993412,-0.542453005
12.7325,-0.408669098,-0.546399278
12.78,-0.420631098,-0.550336599
12.8275,-0.432881557,-0.554268521
12.875,-0.445422901,-0.558198022
12.9225,-0.458257748,-0.562127627
12.97,-0.471388849,-0.5660595
13.0175,-0.484819061,-0.569995521
13.065,-0.498551335,-0.573937343
13.1125,-0.512588728,-0.577886437
13.16,-0.526934407,-0.581844129
13.2075,-0.541591674,-0.585811631
13.255,-0.55656399,-0.589790062
