Freq [GHz],S11 (dB),Phase
2.9625,-3.06108116,0.920973869
2.975,-4.36756966,0.233216522
2.9875,-4.692421827,-0.683919548
3,-3.486861454,-1.4971432
3.0125,-2.228909534,-2.039888972
3.025,-1.42784951,-2.388911833
3.0375,-0.95663073,-2.622789857
3.05,-0.672963025,-2.787600174
3.0625,-0.494307283,-2.909154474
3.075,-0.376549539,-3.002337372
3.0875,-0.295731346,-3.076113061
3.1,-0.238314806,-3.136121487
3.1125,-0.196312319,3.097129416
3.125,-0.164814763,3.054763498
3.1375,-0.140692042,3.018212883
3.15,-0.121882302,2.986217253
3.1625,-0.106987783,2.957848913
3.175,-0.095036606,2.932410654
3.1875,-0.085337696,2.909368739
3.2,-0.077389778,2.888307819
3.2125,-0.070822746,2.86889987
3.225,-0.065358974,2.85088237
3.2375,-0.060787225,2.834042656
3.25,-0.056944709,2.818206536
3.2625,-0.053704519,2.803229861
3.275,-0.050966692,2.7889922
3.2875,-0.04865175,2.77539204
3.3,-0.046695973,2.762343085
3.3125,-0.045047892,2.749771385
3.325,-0.043665665,2.737613077
3.3375,-0.042515081,2.725812597
3.35,-0.041568035,2.714321243
3.3625,-0.040801355,2.703096019
3.375,-0.040195884,2.692098693
3.3875,-0.039735764,2.681295023
3.4,-0.039407867,2.670654118
3.4125,-0.039201353,2.660147902
3.425,-0.039107308,2.649750667
3.4375,-0.039118465,2.639438693
3.45,-0.039228977,2.629189917
3.4625,-0.03943424,2.618983656
3.475,-0.039730756,2.608800355
3.4875,-0.040116029,2.598621372
3.5,-0.040588492,2.588428774
3.5125,-0.041147464,2.578205155
3.525,-0.041793136,2.567933465
3.5375,-0.042526589,2.557596844
3.55,-0.043349853,2.54717845
3.5625,-0.044266015,2.536661285
3.575,-0.045279401,2.52602801
3.5875,-0.046395856,2.515260726
3.6,-0.047623181,2.504340724
3.6125,-0.04897181,2.493248172
3.625,-0.050455885,2.481961705
3.6375,-0.052094988,2.470457884
3.65,-0.053917024,2.458710423
3.6625,-0.055963201,2.446689062
3.675,-0.058296944,2.434357849
3.6875,-0.061020682,2.421672431
3.7,-0.064309219,2.408575583
3.7125,-0.068480572,2.394989649
3.725,-0.074158532,2.380803522
3.7375,-0.08268153,2.365851424
3.75,-0.097241635,2.349890502
3.7625,-0.126329054,2.3326849
3.775,-0.192668103,2.315124216
3.7875,-0.313652949,2.305432744
3.8,-0.322836763,2.308306523
3.8125,-0.230599816,2.298466297
3.825,-0.177342324,2.280833575
3.8375,-0.153518391,2.261790793
3.85,-0.143269116,2.242383289
3.8625,-0.139695129,2.222607062
3.875,-0.139845177,2.202324359
3.8875,-0.142356102,2.181399594
3.9,-0.146554637,2.159711722
3.9125,-0.152096882,2.13714899
3.925,-0.158811266,2.113602867
3.9375,-0.166624901,2.088963294
3.95,-0.175527052,2.063115007
3.9625,-0.185550458,2.035934511
3.975,-0.196761979,2.007287324
3.9875,-0.209258584,1.977025233
4,-0.223166885,1.944983341
4.0125,-0.238645591,1.910976687
4.025,-0.255891113,1.874796206
4.0375,-0.27514756,1.836203655
4.05,-0.296723963,1.794925005
4.0625,-0.321024882,1.750641414
4.075,-0.348607768,1.702976281
4.0875,-0.380297741,1.651475721
4.1,-0.41743461,1.595577721
4.1125,-0.462448633,1.534562394
4.125,-0.520324008,1.467477443
4.1375,-0.602649762,1.393083814
4.15,-0.739232684,1.310293247
4.1625,-1.001688245,1.222402283
4.175,-1.412045187,1.153595017
4.1875,-1.531060836,1.11126714
4.2,-1.371640171,1.03384559
4.2125,-1.278898692,0.926512971
4.225,-1.265932993,0.805185523
4.2375,-1.296822529,0.6738983
4.25,-1.349880461,0.533320001
4.2625,-1.412388577,0.383678572
4.275,-1.475445842,0.225488473
4.2875,-1.53181904,0.059763863
4.3,-1.575374962,-0.111926432
4.3125,-1.601267906,-0.287503767
4.325,-1.606394774,-0.464517063
4.3375,-1.589757322,-0.640354833
4.35,-1.552491563,-0.812490355
4.3625,-1.497499983,-0.978705553
4.375,-1.428799676,-1.137247509
4.3875,-1.350794733,-1.286896726
4.4,-1.267663679,-1.426954061
4.4125,-1.18296342,-1.557171128
4.425,-1.099456049,-1.677653322
4.4375,-1.019106058,-1.788759183
4.45,-0.943178729,-1.891010837
4.4625,-0.87238067,-1.98502202
4.475,-0.807003324,-2.071444574
4.4875,-0.747048829,-2.150931292
4.5,-0.692330655,-2.224111847
4.5125,-0.642549035,-2.291578493
4.525,-0.59734466,-2.353878679
