Freq [GHz],s11(dB)
18.4,-9.18114062
18.46,-9.658044604
18.52,-10.1855791
18.58,-10.7623704
18.64,-11.38765269
18.7,-12.05958165
18.76,-12.77311188
18.82,-13.51684178
18.88,-14.26830922
18.94,-14.98783858
19,-15.61320758
19.06,-16.06182212
19.12,-16.25003332
19.18,-16.12908513
19.24,-15.71283725
19.3,-15.06947322
19.36,-14.28605833
19.42,-13.43796857
19.48,-12.57768729
19.54,-11.73687443
19.6,-10.93250529
19.66,-10.17243585
19.72,-9.459274109
19.78,-8.79278324
19.84,-8.171289827
19.9,-7.592481009
19.96,-7.053843101
20.02,-6.552894237
20.08,-6.087299753
20.14,-5.654920994
20.2,-5.2538262
20.26,-4.882279706
20.32,-4.538718697
20.38,-4.221722956
20.44,-3.929981137
20.5,-3.662256125
20.56,-3.417351717
20.62,-3.194082689
20.68,-2.99125019
20.74,-2.807624111
20.8,-2.641933573
20.86,-2.492866014
20.92,-2.359074485
20.98,-2.239191999
21.04,-2.131851049
21.1,-2.035706025
21.16,-1.949456144
21.22,-1.871866727
21.28,-1.801787093
21.34,-1.738163972
21.4,-1.680049942
21.46,-1.626606964
21.52,-1.577105539
21.58,-1.530920251
21.64,-1.487522626
21.7,-1.446472225
21.76,-1.407406787
21.82,-1.370032137
21.88,-1.334112383
21.94,-1.299460815
22,-1.265931749
22.06,-1.233413486
22.12,-1.201822484
22.18,-1.171098798
22.24,-1.141202834
22.3,-1.112113507
22.36,-1.083827937
22.42,-1.0563629
22.48,-1.029758371
22.54,-1.004083554
22.6,-0.979445837
22.66,-0.9560028
22.72,-0.933976544
22.78,-0.913667395
22.84,-0.895459572
22.9,-0.879804028
22.96,-0.867154972
23.02,-0.857835114
23.08,-0.85182927
23.14,-0.848573812
23.2,-0.846892358
23.26,-0.845219154
23.32,-0.842067482
23.38,-0.836477712
23.44,-0.828184414
23.5,-0.817479496
23.56,-0.804942519
23.62,-0.791206768
23.68,-0.776825864
23.74,-0.762227051
23.8,-0.747714049
23.86,-0.733489689
23.92,-0.719681796
23.98,-0.706365511
24.04,-0.693580343
24.1,-0.681342381
24.16,-0.66965272
24.22,-0.658503121
24.28,-0.647879762
24.34,-0.63776569
24.4,-0.6281424
24.46,-0.618990837
24.52,-0.610292025
24.58,-0.602027447
24.64,-0.594179259
24.7,-0.586730409
24.76,-0.579664683
24.82,-0.572966714
24.88,-0.566621963
24.94,-0.560616689
25,-0.554937906
